id,cv_text,job_text,label,score_raw,cv_hard_skills,cv_soft_skills,job_hard_skills,job_soft_skills,domain,seniority,match_reason,difficulty
1,"PROFILE
IoT Engineer with 0 years of experience in Embedded / IoT / Robotics, based in Casablanca.

EXPERIENCE
Worked in manufacturing. Main stack: scheme, powershell, sas, julia, clojure, digital twin, dax, move, moveit. Delivered amelioration des resultats de 10% a 18%.

SKILLS
scheme, powershell, sas, julia, clojure, digital twin, dax, move, moveit

SOFT SKILLS
problem solving, active listening, coaching, autonomy

CERTIFICATIONS
Aucune certification formelle","Nous recrutons un Network Engineer en Networking / Systems Administration. Competences obligatoires: red hat, ipv6, clojure, imap, move, shell. Nice to have: unix, ipv4, shell, red hat, lan, ubuntu. Le profil ideal demontre organization, communication, agile, attention to detail. Localisation: Casablanca.",1,0.5,"[""scheme"", ""powershell"", ""sas"", ""julia"", ""clojure"", ""digital twin"", ""dax"", ""move"", ""moveit""]","[""problem solving"", ""active listening"", ""coaching"", ""autonomy""]","[""clojure"", ""sas"", ""powershell"", ""move"", ""ipv6"", ""imap"", ""unix"", ""ipv4"", ""shell"", ""red hat""]","[""organization"", ""communication"", ""agile"", ""attention to detail""]",Networking / Systems Administration,junior,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
2,"Professionnel Frontend Engineer avec 5 ans d'experience en Frontend Development. J'ai travaille sur selenium, soak testing, bulma, radix ui, typescript, babel, unittest, storybook, zustand, remix, chakra ui, preact dans des environnements gaming. J'apporte critical thinking, autonomy, adaptability, conflict resolution, consulting. Certifications: azure administrator associate, aws certified data engineer associate. Resultat cle: amelioration des resultats de 15% a 23%.","Grand compte recherche un Design Technologist mid pour une equipe Product / UX Engineering. Competences requises: bulma, preact, zustand, storybook, chakra ui, solidjs, d3.js, react. Competences appreciees: preact, freshdesk, looker, solidjs, rxjs, react. Soft skills: agile, consulting, creativity, facilitation. Contexte: grand groupe, secteur gaming, localisation Paris.",1,1.0,"[""selenium"", ""soak testing"", ""bulma"", ""radix ui"", ""typescript"", ""babel"", ""unittest"", ""storybook"", ""zustand"", ""remix"", ""chakra ui"", ""preact""]","[""critical thinking"", ""autonomy"", ""adaptability"", ""conflict resolution"", ""consulting""]","[""chakra ui"", ""storybook"", ""bulma"", ""typescript"", ""remix"", ""soak testing"", ""babel"", ""zustand"", ""preact"", ""freshdesk"", ""looker"", ""solidjs"", ""rxjs"", ""react"", ""d3.js""]","[""agile"", ""consulting"", ""creativity"", ""facilitation"", ""critical thinking""]",Product / UX Engineering,mid,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
3,"PROFIL
Systems Administrator mid en Networking / Systems Administration, base a Dakar, avec 3 ans d'experience.

EXPERIENCE
Missions dans le secteur manufacturing. Stack principale: vpn, grpc, soc 2, http3, load balancing, gdpr, http/https, runbooks, nist, spinnaker, load balancer, ci/cd. Resultats: amelioration des resultats de 13% a 21%.

COMPETENCES
vpn, grpc, soc 2, http3, load balancing, gdpr, http/https, runbooks, nist, spinnaker, load balancer, ci/cd

SOFT SKILLS
conflict resolution, cooperation, active listening, analytical thinking, coaching

CERTIFICATIONS
azure developer associate","Poste SOC Analyst mid dans le secteur manufacturing. Required: nist, lan, http3, buildah, load balancing, http/https, suricata, waf. Nice to have: buildah, waf, audit, suricata, rbac, oauth. Soft skills attendues: conflict resolution, adaptability, accountability, creativity. Contexte: equipe produit distribuee. Localisation: Dakar.",1,0.5,"[""vpn"", ""grpc"", ""soc 2"", ""http3"", ""load balancing"", ""gdpr"", ""http/https"", ""runbooks"", ""nist"", ""spinnaker"", ""load balancer"", ""ci/cd""]","[""conflict resolution"", ""cooperation"", ""active listening"", ""analytical thinking"", ""coaching""]","[""http3"", ""nist"", ""ci/cd"", ""load balancing"", ""http/https"", ""lan"", ""websocket"", ""kustomize"", ""buildah"", ""waf"", ""audit"", ""suricata""]","[""conflict resolution"", ""adaptability"", ""accountability"", ""creativity"", ""risk management""]",Cybersecurity / AppSec,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
4,"Analytics Specialist | BI / Analytics / Visualization | 2 ans | Toulouse | stack: presto, dbt, mariadb, obsidian, looker, dask, google workspace, notion, monday.com | soft: consulting, presentation, communication, critical thinking | certs: Aucune certification formelle","Grand compte recherche un ETL Developer junior pour une equipe Data Engineering / Analytics Engineering. Competences requises: presto, google workspace, vertica, stitch, notion, t-sql. Competences appreciees: vertica, timescaledb, t-sql, stitch, mysql, duckdb. Soft skills: consulting, communication, attention to detail, creativity. Contexte: scale-up internationale, secteur healthtech, localisation Toulouse.",1,0.5,"[""presto"", ""dbt"", ""mariadb"", ""obsidian"", ""looker"", ""dask"", ""google workspace"", ""notion"", ""monday.com""]","[""consulting"", ""presentation"", ""communication"", ""critical thinking""]","[""presto"", ""dbt"", ""google workspace"", ""notion"", ""ruby"", ""synapse"", ""vertica"", ""timescaledb"", ""t-sql"", ""stitch""]","[""consulting"", ""communication"", ""attention to detail"", ""creativity""]",Data Engineering / Analytics Engineering,junior,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
5,"Professionnel SRE avec 14 ans d'experience en Platform / SRE / Observability. J'ai travaille sur argocd, pagerduty, azure pipelines, apm, chaos engineering, sentinel, policy as code, buildah, skaffold, kustomize, canary release, docker compose dans des environnements manufacturing. J'apporte cooperation, consulting, accountability, change management, critical thinking. Certifications: Aucune certification formelle. Resultat cle: amelioration des resultats de 24% a 32%.","Grand compte recherche un UX Engineer lead pour une equipe Product / UX Engineering. Competences requises: bootstrap, mode analytics, draw.io, microsoft teams, prototyping, d3.js, confluence, pinia, slack, power query. Competences appreciees: zustand, emotion, alpine.js, documentation, redash. Soft skills: coaching, autonomy, analytical thinking, adaptation. Contexte: equipe produit distribuee, secteur manufacturing, localisation Bruxelles.",0,0.0,"[""argocd"", ""pagerduty"", ""azure pipelines"", ""apm"", ""chaos engineering"", ""sentinel"", ""policy as code"", ""buildah"", ""skaffold"", ""kustomize"", ""canary release"", ""docker compose"", ""uptime monitoring""]","[""cooperation"", ""consulting"", ""accountability"", ""change management"", ""critical thinking"", ""systems thinking"", ""conflict resolution""]","[""pinia"", ""slack"", ""draw.io"", ""microsoft teams"", ""information architecture"", ""parcel"", ""bootstrap"", ""power query"", ""d3.js"", ""mode analytics"", ""prototyping"", ""confluence"", ""zustand""]","[""coaching"", ""autonomy"", ""analytical thinking"", ""adaptation"", ""conflict resolution"", ""creativity"", ""attention to detail""]",Product / UX Engineering,lead,domaine different ou ecarts importants sur les competences critiques,medium
6,"NLP Engineer | AI / NLP / LLM Engineering | 5 ans | Toulouse | stack: model evaluation, mdx, tool use, time series, shell scripting, embedding models, dart, mybatis, causal inference, abap, optuna, regression | soft: adaptability, autonomy, change management, documentation, attention to detail | certs: Aucune certification formelle","Grand compte recherche un Data Scientist mid pour une equipe Data Science / ML Engineering. Competences requises: athena, silverlight, sql, dart, embedding models, shell scripting, streamsets, thoughtspot. Competences appreciees: opencl, sql, dagster, thoughtspot, weights & biases, scheme. Soft skills: analytical thinking, attention to detail, consulting, autonomy. Contexte: startup en hypercroissance, secteur fintech, localisation Toulouse.",1,0.5,"[""model evaluation"", ""mdx"", ""tool use"", ""time series"", ""shell scripting"", ""embedding models"", ""dart"", ""mybatis"", ""causal inference"", ""abap"", ""optuna"", ""regression"", ""hapi"", ""openapi"", ""apache struts"", ""dreamweaver"", ""silverlight"", ""actionscript""]","[""adaptability"", ""autonomy"", ""change management"", ""documentation"", ""attention to detail""]","[""silverlight"", ""abap"", ""openapi"", ""embedding models"", ""dart"", ""regression"", ""shell scripting"", ""causal inference"", ""opencl"", ""sql"", ""dagster"", ""thoughtspot"", ""weights & biases"", ""scheme"", ""looker"", ""streamsets"", ""machine learning"", ""athena""]","[""analytical thinking"", ""attention to detail"", ""consulting"", ""autonomy"", ""critical thinking""]",Data Science / ML Engineering,mid,profil transferable avec recouvrement partiel des competences et technologies connexes,hard
7,"Professionnel CRM Engineer avec 5 ans d'experience en ERP / CRM / Enterprise Apps. J'ai travaille sur pyramid, hibernate, monday.com, clickup, sales cloud, sinatra, codeigniter, asana, echo, service desk, message transformation, tableau dans des environnements retail. J'apporte change management, cooperation, coaching, active listening, collaboration. Certifications: Aucune certification formelle. Resultat cle: amelioration des resultats de 15% a 23%.","Grand compte recherche un API Engineer mid pour une equipe Backend Development. Competences requises: lucidchart, monday.com, sales cloud, clickup, arangodb, tableau, sinatra, flask. Competences appreciees: monday.com, pulsar, flask, arangodb, presto, timescaledb. Soft skills: change management, business acumen, consulting, ownership. Contexte: plateforme cloud, secteur retail, localisation Remote.",1,1.0,"[""pyramid"", ""hibernate"", ""monday.com"", ""clickup"", ""sales cloud"", ""sinatra"", ""codeigniter"", ""asana"", ""echo"", ""service desk"", ""message transformation"", ""tableau"", ""lucidchart""]","[""change management"", ""cooperation"", ""coaching"", ""active listening"", ""collaboration""]","[""asana"", ""sales cloud"", ""clickup"", ""tableau"", ""echo"", ""lucidchart"", ""sinatra"", ""hibernate"", ""monday.com"", ""pulsar"", ""flask"", ""arangodb"", ""presto"", ""timescaledb"", ""janusgraph""]","[""change management"", ""business acumen"", ""consulting"", ""ownership"", ""collaboration""]",Backend Development,mid,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
8,"PROFIL
Full Stack Developer lead en Full Stack Web Developpment, base a Remote, avec 11 ans d'experiance.

EXPERIENCE
Missions dans le secteur gaming. Stack principale: remix, singleStore, three.js, echarts, echo, spring boot, nestjs, api gateway, redshift, phoenix, fiber, duckdb. Resultats: amelioration des resultats de 21% a 29%.

COMPETENCES
remix, singleStore, three.js, echarts, echo, spring boot, nestjs, api gateway, redshift, phoenix, fiber, duckdb

SOFT SKILLS
agile, adaptability, communication, teamwork, critical thinking

CERTIFICATIONS
azure fundamentals, cisco ccna","Grand compte recherche un Software Engineer lead pour une equipe Full Stack Web Development. Competences requises: remix, sql server, django, pyramid, singleStore, echo, react, spring boot, babel, ember.js. Competences appreciees: django, redshift, incident management, recoil, tanstack query, pyramid. Soft skills: autonomy, teamwork, coaching, conflict resolution. Contexte: plateforme cloud, secteur gaming, localisation Remote.",1,1.0,"[""remix"", ""singleStore"", ""three.js"", ""echarts"", ""echo"", ""spring boot"", ""nestjs"", ""api gateway"", ""redshift"", ""phoenix"", ""fiber"", ""duckdb"", ""django"", ""mantine"", ""sql server"", ""babel"", ""message transformation"", ""ember.js"", ""quarkus""]","[""agile"", ""adaptability"", ""communication"", ""teamwork"", ""critical thinking"", ""ownership"", ""coaching""]","[""remix"", ""echo"", ""api gateway"", ""ember.js"", ""message transformation"", ""fiber"", ""singleStore"", ""phoenix"", ""echarts"", ""sql server"", ""babel"", ""spring boot"", ""django"", ""redshift"", ""incident management"", ""recoil"", ""tanstack query"", ""pyramid"", ""react"", ""circleci""]","[""autonomy"", ""teamwork"", ""coaching"", ""conflict resolution"", ""ownership"", ""adaptation"", ""active listening""]",Full Stack Web Development,lead,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
9,"Professionnel SRE avec 5 ans d'experience en Platform / SRE / Observability. J'ai travaille sur windows server, gitlab ci, nomad, teamcity, gitops, macos, bash, serverless framework, cilium, opentelemetry collector dans des environnements fintech. J'apporte analytical thinking, adaptation, business acumen, creativity, critical thinking. Certifications: Aucune certification formelle. Resultat cle: amelioration des resultats de 15% a 23%.","Poste Frontend Engineer mid dans le secteur fintech. Required: user research, design systems, whimsical, vite, tailwind css, ava, jmeter, svelte. Nice to have: postman testing, svelte, nuxt.js, storybook, framer motion. Soft skills attendues: critical thinking, consulting, analytical thinking, teamwork. Contexte: grand groupe. Localisation: Bruxelles.",0,0.0,"[""windows server"", ""gitlab ci"", ""nomad"", ""teamcity"", ""gitops"", ""macos"", ""bash"", ""serverless framework"", ""cilium"", ""opentelemetry collector""]","[""analytical thinking"", ""adaptation"", ""business acumen"", ""creativity"", ""critical thinking""]","[""jmeter"", ""ava"", ""vite"", ""journey mapping"", ""whimsical"", ""user research"", ""tailwind css"", ""design systems"", ""postman testing"", ""svelte""]","[""critical thinking"", ""consulting"", ""analytical thinking"", ""teamwork"", ""coaching""]",Frontend Development,mid,domaine different ou ecarts importants sur les competences critiques,medium
10,"Technical Lead | Software Architecture / Technical Leadership | 4 ans | Bruxelles | stack: incident response, system design, microservices, nomad, metrics, multitenancy, event api, hexagonal architecture, bff, boomi, swagger, pub/sub | soft: adaptation, strategic thinking, conflict resolution, change management, cooperation | certs: Aucune certification formelle","Poste Platform Engineer mid dans le secteur cyberdefense. Required: internal developer platform, pub/sub, nomad, bff, nginx, multitenancy, postmortems, bugsnag. Nice to have: multitenancy, logging, internal developer platform, rancher, nginx, postmortems. Soft skills attendues: resilience, adaptation, agile, adaptability. Contexte: scale-up internationale. Localisation: Bruxelles.",1,1.0,"[""incident response"", ""system design"", ""microservices"", ""nomad"", ""metrics"", ""multitenancy"", ""event api"", ""hexagonal architecture"", ""bff"", ""boomi"", ""swagger"", ""pub/sub""]","[""adaptation"", ""strategic thinking"", ""conflict resolution"", ""change management"", ""cooperation""]","[""boomi"", ""pub/sub"", ""nomad"", ""bff"", ""event api"", ""swagger"", ""hexagonal architecture"", ""microservices"", ""multitenancy"", ""logging"", ""internal developer platform"", ""rancher"", ""nginx"", ""postmortems"", ""bugsnag""]","[""resilience"", ""adaptation"", ""agile"", ""adaptability"", ""change management""]",Platform / SRE / Observability,mid,"alignement fort sur le domaine, la stack et le niveau d'experience",easy
